id_municipio,alunos,taxa_prevista,taxa_real_2024,meta_2025,meta_2030,nome,sigla_uf,gap_previsto_meta_2025
1505031,466,0.5466701570023418,0.5793991416309013,67.45,80.0,Novo Progresso,PA,-12.782984299765822
2931301,110,0.3455304472607882,0.41818181818181815,47.31,80.0,Tapiramutá,BA,-12.756955273921186
2603009,311,0.5920307355017602,0.6430868167202572,71.96,80.0,Cabrobó,PE,-12.756926449823972
2106409,199,0.6016342911448909,0.7688442211055276,72.92,80.0,Mata Roma,MA,-12.756570885510918
2912707,204,0.3307378137149525,0.22058823529411764,45.82,80.0,Ibirapitanga,BA,-12.74621862850475
1506112,143,0.46266444993810696,0.4755244755244755,59.01,80.0,Quatipuru,PA,-12.743555006189304
1501907,229,0.4800260104055797,0.519650655021834,60.73,80.0,Bujaru,PA,-12.727398959442027
2101608,782,0.5738763721224434,0.6432225063938619,70.11,80.0,Barra do Corda,MA,-12.722362787755664
2412203,541,0.35889119492546007,0.3419593345656192,48.56,80.0,São José de Mipibu,RN,-12.670880507453994
2933158,156,0.3443628533741082,0.1794871794871795,47.1,80.0,Várzea Nova,BA,-12.663714662589179
2921401,119,0.35183339585217577,0.29411764705882354,47.84,80.0,Mirangaba,BA,-12.65666041478243
2923605,141,0.4496349316684385,0.48936170212765956,57.62,80.0,Paramirim,BA,-12.65650683315615
1718204,713,0.5171986035206155,0.4431977559607293,64.37,80.0,Porto Nacional,TO,-12.650139647938452
2107902,201,0.6510560293319798,0.5870646766169154,77.72,80.0,Passagem Franca,MA,-12.614397066802013
2512002,218,0.416376717010458,0.5458715596330275,54.24,80.0,Pocinhos,PB,-12.602328298954205
2506806,128,0.5214365138989931,0.46875,64.71,80.0,Ingá,PB,-12.566348610100675
2201739,115,0.41969037581729063,0.7391304347826086,54.51,80.0,Betânia do Piauí,PI,-12.540962418270936
1507508,197,0.3524142738042927,0.34517766497461927,47.76,80.0,São João do Araguaia,PA,-12.518572619570726
2915106,119,0.38495715428508015,0.23529411764705882,50.97,80.0,Itagi,BA,-12.474284571491985
2917508,558,0.32946702917309967,0.2849462365591398,45.4,80.0,Jacobina,BA,-12.453297082690035
1720804,144,0.3988700422048491,0.5069444444444444,52.31,80.0,Sítio Novo do Tocantins,TO,-12.422995779515091
2908200,142,0.33782122988578256,0.2746478873239437,46.19,80.0,Conceição da Feira,BA,-12.40787701142174
2203206,142,0.5953214837801257,0.7816901408450704,71.92,80.0,Curimatá,PI,-12.38785162198743
1502756,250,0.408216009814366,0.544,53.12,80.0,Concórdia do Pará,PA,-12.298399018563394
3110004,345,0.6318408829661339,0.7130434782608696,75.47,80.0,Caeté,MG,-12.285911703386603
3120870,102,0.6719712043727898,0.803921568627451,79.47,80.0,Curral de Dentro,MG,-12.272879562721016
5000807,105,0.5769223974596,0.8,69.94,80.0,Anaurilândia,MS,-12.247760254040003
2930501,487,0.2834847549912254,0.19917864476386038,40.59,80.0,Serrinha,BA,-12.241524500877464
1502806,510,0.28220794905009605,0.25882352941176473,40.46,80.0,Curralinho,PA,-12.239205094990396
3120805,137,0.6776777760148609,0.7591240875912408,80.0,80.0,Cruzília,MG,-12.232222398513912
1508084,467,0.5347029015027113,0.48822269807280516,65.7,80.0,Tucumã,PA,-12.229709849728877
2807105,362,0.3521700855595331,0.356353591160221,47.41,80.0,Simão Dias,SE,-12.192991444046683
2801306,318,0.35497004233630225,0.3584905660377358,47.68,80.0,Capela,SE,-12.182995766369778
2801702,185,0.2801388408699369,0.34594594594594597,40.17,80.0,Cristinápolis,SE,-12.15611591300631
2918100,193,0.30092357260456326,0.29533678756476683,42.24,80.0,Jeremoabo,BA,-12.147642739543677
2927408,12158,0.39885992595193376,0.3685639085375884,52.03,80.0,Salvador,BA,-12.144007404806622
2925501,391,0.3660859222839077,0.3273657289002558,48.75,80.0,Prado,BA,-12.14140777160923
5005251,137,0.6787514819729357,0.7737226277372263,80.0,80.0,Laguna Carapã,MS,-12.12485180270643
2208007,528,0.4969495260941431,0.5511363636363636,61.79,80.0,Picos,PI,-12.095047390585691
2104552,306,0.6790739718068364,0.6764705882352942,80.0,80.0,Governador Edison Lobão,MA,-12.092602819316369
2801207,462,0.26152489492927666,0.2683982683982684,38.24,80.0,Canindé de São Francisco,SE,-12.087510507072334
5107305,228,0.6320548789200624,0.6008771929824561,75.26,80.0,São José do Rio Claro,MT,-12.054512107993766
4215307,110,0.6655980309760585,0.6818181818181818,78.59,80.0,Salete,SC,-12.030196902394152
2900702,988,0.3569340309642819,0.36639676113360325,47.72,80.0,Alagoinhas,BA,-12.026596903571807
4102109,256,0.6768031785350563,0.75390625,79.69,80.0,Astorga,PR,-12.00968214649437
2407104,556,0.32065042453860815,0.3057553956834532,44.07,80.0,Macaíba,RN,-12.004957546139188
2601508,123,0.6197126251765317,0.7967479674796748,73.96,80.0,Belém de Maria,PE,-11.98873748234682
3301900,2438,0.4869049744650562,0.5127153404429861,60.66,80.0,Itaboraí,RJ,-11.96950255349438
4212908,245,0.6682032471760371,0.7510204081632653,78.76,80.0,Pinhalzinho,SC,-11.939675282396294
1100924,154,0.6807434751308346,0.7337662337662337,80.0,80.0,Chupinguaia,RO,-11.925652486916547
2909901,388,0.3259121744981246,0.22938144329896906,44.5,80.0,Curaçá,BA,-11.908782550187539
3133105,107,0.6809614064716976,0.8037383177570093,80.0,80.0,Itanhandu,MG,-11.903859352830239
3301702,6581,0.4590055535623184,0.45661753532897736,57.8,80.0,Duque de Caxias,RJ,-11.899444643768156
2602704,124,0.5658785675477145,0.8548387096774194,68.48,80.0,Buenos Aires,PE,-11.892143245228553
